building,display_day,recovery_evidence_day,recovery_model,recovery_forecast_status,actual_recovery_pct,predicted_recovery_pct,recovery_absolute_error_pp,weight_evidence_day,weight_model,weight_forecast_status,actual_day35_weight_g,predicted_day35_weight_g,weight_absolute_error_g
Tags 1,7,7,M1,Recalculated,95.80233047873091,92.6563965160469,3.145933962684,7,M2,Recalculated,1446.0,1302.6913178993564,143.30868210064364
Tags 1,14,14,M1,Recalculated,95.80233047873091,92.05404857711744,3.7482819016134594,14,M2,Recalculated,1446.0,1339.624582856972,106.37541714302802
Tags 1,21,14,M1,Held from Day 14,95.80233047873091,92.05404857711744,3.7482819016134594,21,M3,Recalculated,1446.0,1428.5318603515625,17.4681396484375
Tags 1,28,14,M1,Held from Day 14,95.80233047873091,92.05404857711744,3.7482819016134594,21,M3,Held from Day 21,1446.0,1428.5318603515625,17.4681396484375
Tags 2,7,7,M1,Recalculated,94.6303064380096,91.74744234266944,2.882864095340165,7,M2,Recalculated,1440.0,1316.74431958096,123.25568041903989
Tags 2,14,14,M1,Recalculated,94.6303064380096,90.89099990024452,3.739306537765086,14,M2,Recalculated,1440.0,1299.878229774933,140.12177022506694
Tags 2,21,14,M1,Held from Day 14,94.6303064380096,90.89099990024452,3.739306537765086,21,M3,Recalculated,1440.0,1355.79443359375,84.20556640625
Tags 2,28,14,M1,Held from Day 14,94.6303064380096,90.89099990024452,3.739306537765086,21,M3,Held from Day 21,1440.0,1355.79443359375,84.20556640625
Tags 3,7,7,M1,Recalculated,95.0020999580008,88.22368887972024,6.778411078280556,7,M2,Recalculated,1517.0,1221.1620831123953,295.8379168876047
Tags 3,14,14,M1,Recalculated,95.0020999580008,89.57512689783205,5.426973060168749,14,M2,Recalculated,1517.0,1220.201377020365,296.79862297963496
Tags 3,21,14,M1,Held from Day 14,95.0020999580008,89.57512689783205,5.426973060168749,21,M3,Recalculated,1517.0,1245.43359375,271.56640625
Tags 3,28,14,M1,Held from Day 14,95.0020999580008,89.57512689783205,5.426973060168749,21,M3,Held from Day 21,1517.0,1245.43359375,271.56640625
