building,display_day,record_date,current_recovery_pct,current_bodyweight_g,recovery_model,recovery_evidence_day,recovery_forecast_status,predicted_recovery_pct,actual_recovery_pct,recovery_absolute_error_pp,weight_model,weight_evidence_day,weight_forecast_status,predicted_day35_weight_g,actual_day35_weight_g,weight_absolute_error_g
Tags 1,7,2026-07-10,98.90495577706024,114.74,M1,7,Recalculated,92.6563965160469,95.80233047873092,3.145933962684,M2,7,Recalculated,1302.6913178993564,1446.0,143.30868210064364
Tags 1,14,2026-07-17,97.781833497122,242.76,M1,14,Recalculated,92.05404857711744,95.80233047873092,3.7482819016134594,M2,14,Recalculated,1339.624582856972,1446.0,106.37541714302802
Tags 1,21,2026-07-24,96.89737470167064,516.7199999999999,M1,14,Held from Day 14,92.05404857711744,95.80233047873092,3.7482819016134594,M3,21,Recalculated,1428.5318603515625,1446.0,17.4681396484375
Tags 1,28,2026-07-31,96.43408676119613,802.0,M1,14,Held from Day 14,92.05404857711744,95.80233047873092,3.7482819016134594,M3,21,Held from Day 21,1428.5318603515625,1446.0,17.4681396484375
Tags 2,7,2026-07-10,98.45375316277763,114.74,M1,7,Recalculated,91.74744234266944,94.6303064380096,2.882864095340165,M2,7,Recalculated,1316.74431958096,1440.0,123.25568041903988
Tags 2,14,2026-07-17,97.0340174304189,242.76,M1,14,Recalculated,90.89099990024452,94.6303064380096,3.739306537765086,M2,14,Recalculated,1299.878229774933,1440.0,140.12177022506694
Tags 2,21,2026-07-24,96.14843969637334,519.89,M1,14,Held from Day 14,90.89099990024452,94.6303064380096,3.739306537765086,M3,21,Recalculated,1355.79443359375,1440.0,84.20556640625
Tags 2,28,2026-07-31,95.2628619623278,732.0,M1,14,Held from Day 14,90.89099990024452,94.6303064380096,3.739306537765086,M3,21,Held from Day 21,1355.79443359375,1440.0,84.20556640625
Tags 3,7,2026-07-10,98.53002939941202,114.74,M1,7,Recalculated,88.22368887972024,95.0020999580008,6.778411078280556,M2,7,Recalculated,1221.1620831123953,1517.0,295.8379168876047
Tags 3,14,2026-07-17,97.13005739885202,242.76,M1,14,Recalculated,89.57512689783205,95.0020999580008,5.426973060168749,M2,14,Recalculated,1220.201377020365,1517.0,296.79862297963496
Tags 3,21,2026-07-24,96.34607307853842,540.27,M1,14,Held from Day 14,89.57512689783205,95.0020999580008,5.426973060168749,M3,21,Recalculated,1245.43359375,1517.0,271.56640625
Tags 3,28,2026-07-31,95.66008679826403,703.0,M1,14,Held from Day 14,89.57512689783205,95.0020999580008,5.426973060168749,M3,21,Held from Day 21,1245.43359375,1517.0,271.56640625
