source_index,cycle_id,building_id,cycle_day,feature,feature_value,shap_recovery_effect
0,2025-2,Tags 1,7,cycle_day,7.0,-0.013745097472142078
0,2025-2,Tags 1,7,percentage_alive,0.9782352941176472,-0.0005107316867323403
0,2025-2,Tags 1,7,mortality_recent_3d_per_1000,2.2549019607843133,-0.002461004259749078
0,2025-2,Tags 1,7,mortality_trend_delta_per_1000,0.0,9.148543124906647e-05
0,2025-2,Tags 1,7,weight_gap_pct,24.117647058823533,0.0011031244137884317
0,2025-2,Tags 1,7,weight_staleness_days,0.0,-0.0046722116535000795
0,2025-2,Tags 1,7,temperature_deviation_from_band_c,1.476946133063132,0.0010634437568115334
0,2025-2,Tags 1,7,humidity_deviation_from_band_pp,14.394841269841264,0.0017387765110377872
0,2025-2,Tags 1,7,environment_out_of_band_days_7d,7.0,0.0002992531413816988
0,2025-2,Tags 1,7,environment_staleness_days,0.0,-0.00011620755931740276
0,2025-2,Tags 1,7,is_lags_building,0.0,0.00233764893347608
0,2025-2,Tags 1,7,historical_building_recovery,0.9238591323117529,0.0010825626791948874
0,2025-2,Tags 1,7,peer_delta_percentage_alive,-0.0051470588235291714,-0.00109563667514632
0,2025-2,Tags 1,7,peer_delta_weight_gap_pct,0.0,0.00038506924756990136
0,2025-2,Tags 1,7,missingindicator_temperature_deviation_from_band_c,1.0,0.00019720493757689555
0,2025-2,Tags 1,7,missingindicator_humidity_deviation_from_band_pp,1.0,9.95771230275952e-05
0,2025-2,Tags 1,7,missingindicator_environment_out_of_band_days_7d,1.0,0.00019053260219902937
0,2025-2,Tags 1,7,missingindicator_environment_staleness_days,1.0,0.00016906036221412204
1,2025-2,Tags 1,14,cycle_day,14.0,-0.010173772361276838
1,2025-2,Tags 1,14,percentage_alive,0.9697058823529412,-0.0002575392101123839
1,2025-2,Tags 1,14,mortality_recent_3d_per_1000,1.0294117647058825,0.0016202663280435142
1,2025-2,Tags 1,14,mortality_trend_delta_per_1000,0.0,7.88592728857295e-05
1,2025-2,Tags 1,14,weight_gap_pct,11.052631578947365,0.0012791638181287644
1,2025-2,Tags 1,14,weight_staleness_days,0.0,-0.004307445087038182
1,2025-2,Tags 1,14,temperature_deviation_from_band_c,1.476946133063132,0.0010396122353442006
1,2025-2,Tags 1,14,humidity_deviation_from_band_pp,14.394841269841264,0.0017507437700615485
1,2025-2,Tags 1,14,environment_out_of_band_days_7d,7.0,0.00019056288281450487
1,2025-2,Tags 1,14,environment_staleness_days,0.0,-0.00012854250473935718
1,2025-2,Tags 1,14,is_lags_building,0.0,0.0026093339373350444
1,2025-2,Tags 1,14,historical_building_recovery,0.9238591323117529,0.001065016400946736
1,2025-2,Tags 1,14,peer_delta_percentage_alive,-0.004411764705882448,-0.001196803914438156
1,2025-2,Tags 1,14,peer_delta_weight_gap_pct,0.7894736842105292,0.00025334852604922325
1,2025-2,Tags 1,14,missingindicator_temperature_deviation_from_band_c,1.0,0.00012739880410014907
1,2025-2,Tags 1,14,missingindicator_humidity_deviation_from_band_pp,1.0,4.846492536569014e-05
1,2025-2,Tags 1,14,missingindicator_environment_out_of_band_days_7d,1.0,7.309848700500484e-05
1,2025-2,Tags 1,14,missingindicator_environment_staleness_days,1.0,9.188874056478648e-05
2,2025-2,Tags 1,21,cycle_day,21.0,-0.0031523157459087147
2,2025-2,Tags 1,21,percentage_alive,0.958970588235294,-0.00010360688325076977
2,2025-2,Tags 1,21,mortality_recent_3d_per_1000,1.4705882352941178,-0.001290494770016698
2,2025-2,Tags 1,21,mortality_trend_delta_per_1000,0.1260504201680672,-0.0001068498110110367
2,2025-2,Tags 1,21,weight_gap_pct,15.5,0.0009142562607020367
2,2025-2,Tags 1,21,weight_staleness_days,0.0,-0.004158841698398717
2,2025-2,Tags 1,21,temperature_deviation_from_band_c,1.476946133063132,0.0010042288546092063
2,2025-2,Tags 1,21,humidity_deviation_from_band_pp,14.394841269841264,0.0018530498704443133
2,2025-2,Tags 1,21,environment_out_of_band_days_7d,7.0,0.000235636872547266
2,2025-2,Tags 1,21,environment_staleness_days,0.0,-0.00017703322206728123
2,2025-2,Tags 1,21,is_lags_building,0.0,0.002121383663650845
2,2025-2,Tags 1,21,historical_building_recovery,0.9238591323117529,0.001187951258516721
2,2025-2,Tags 1,21,peer_delta_percentage_alive,-0.005441176470588394,-0.0010406029065253418
2,2025-2,Tags 1,21,peer_delta_weight_gap_pct,0.0,0.00023215837359880632
2,2025-2,Tags 1,21,missingindicator_temperature_deviation_from_band_c,1.0,9.163372770562091e-05
2,2025-2,Tags 1,21,missingindicator_humidity_deviation_from_band_pp,1.0,1.8949634816698517e-05
2,2025-2,Tags 1,21,missingindicator_environment_out_of_band_days_7d,1.0,7.947267383208455e-05
2,2025-2,Tags 1,21,missingindicator_environment_staleness_days,1.0,7.95044683042592e-05
3,2025-2,Tags 1,25,cycle_day,25.0,0.00237951860398163
3,2025-2,Tags 1,25,percentage_alive,0.9427941176470588,0.0008669420415299026
3,2025-2,Tags 1,25,mortality_recent_3d_per_1000,1.3235294117647058,-0.00019631529964053273
3,2025-2,Tags 1,25,mortality_trend_delta_per_1000,0.0,0.00030756796856376545
3,2025-2,Tags 1,25,weight_gap_pct,15.5,0.0008169077040259147
3,2025-2,Tags 1,25,weight_staleness_days,4.0,0.002301189444333458
3,2025-2,Tags 1,25,temperature_deviation_from_band_c,1.476946133063132,0.0007008097650351923
3,2025-2,Tags 1,25,humidity_deviation_from_band_pp,14.394841269841264,0.0015390309010886762
3,2025-2,Tags 1,25,environment_out_of_band_days_7d,7.0,0.0001704820430189577
3,2025-2,Tags 1,25,environment_staleness_days,0.0,-0.00024266700087594636
3,2025-2,Tags 1,25,is_lags_building,0.0,0.0016045137250034105
3,2025-2,Tags 1,25,historical_building_recovery,0.9238591323117529,0.0009003695094573869
3,2025-2,Tags 1,25,peer_delta_percentage_alive,-0.006911764705882395,-0.0007039594719243586
3,2025-2,Tags 1,25,peer_delta_weight_gap_pct,0.0,0.00018207425850683682
3,2025-2,Tags 1,25,missingindicator_temperature_deviation_from_band_c,1.0,0.00014646967066722597
3,2025-2,Tags 1,25,missingindicator_humidity_deviation_from_band_pp,1.0,7.770401103791405e-07
3,2025-2,Tags 1,25,missingindicator_environment_out_of_band_days_7d,1.0,0.00012874772098071978
3,2025-2,Tags 1,25,missingindicator_environment_staleness_days,1.0,0.00010720258957783577
4,2025-2,Tags 2,7,cycle_day,7.0,-0.013678833724144765
4,2025-2,Tags 2,7,percentage_alive,0.9833823529411764,-0.0004851028235411691
4,2025-2,Tags 2,7,mortality_recent_3d_per_1000,1.7647058823529411,-0.0025068858057040156
4,2025-2,Tags 2,7,mortality_trend_delta_per_1000,0.0,9.150162658154892e-05
4,2025-2,Tags 2,7,weight_gap_pct,24.117647058823533,0.0011139468630594837
4,2025-2,Tags 2,7,weight_staleness_days,0.0,-0.004651028996012828
4,2025-2,Tags 2,7,temperature_deviation_from_band_c,1.476946133063132,0.0010588258266795618
4,2025-2,Tags 2,7,humidity_deviation_from_band_pp,14.394841269841264,0.0017916369253103066
4,2025-2,Tags 2,7,environment_out_of_band_days_7d,7.0,0.00030478026755201396
4,2025-2,Tags 2,7,environment_staleness_days,0.0,-0.00011551675219167591
4,2025-2,Tags 2,7,is_lags_building,0.0,0.0023152544635878466
4,2025-2,Tags 2,7,historical_building_recovery,0.9248595987494426,0.0010678346730885132
4,2025-2,Tags 2,7,peer_delta_percentage_alive,0.0,-0.00038870353256169896
4,2025-2,Tags 2,7,peer_delta_weight_gap_pct,0.0,0.00038753636268017903
4,2025-2,Tags 2,7,missingindicator_temperature_deviation_from_band_c,1.0,0.00016518281854981692
4,2025-2,Tags 2,7,missingindicator_humidity_deviation_from_band_pp,1.0,8.013874847839149e-05
4,2025-2,Tags 2,7,missingindicator_environment_out_of_band_days_7d,1.0,0.00018363619470116127
4,2025-2,Tags 2,7,missingindicator_environment_staleness_days,1.0,0.00012679400516315227
5,2025-2,Tags 2,14,cycle_day,14.0,-0.009795770033800225
5,2025-2,Tags 2,14,percentage_alive,0.9741176470588236,-0.0003492556032012752
5,2025-2,Tags 2,14,mortality_recent_3d_per_1000,1.2254901960784317,0.0005543078964139451
5,2025-2,Tags 2,14,mortality_trend_delta_per_1000,0.0,8.314854970404531e-05
5,2025-2,Tags 2,14,weight_gap_pct,10.263157894736835,0.0012989349868725239
5,2025-2,Tags 2,14,weight_staleness_days,0.0,-0.004336745268420484
5,2025-2,Tags 2,14,temperature_deviation_from_band_c,1.476946133063132,0.0010231509301493497
5,2025-2,Tags 2,14,humidity_deviation_from_band_pp,14.394841269841264,0.0017510817115420328
5,2025-2,Tags 2,14,environment_out_of_band_days_7d,7.0,0.000191673465605551
5,2025-2,Tags 2,14,environment_staleness_days,0.0,-0.00012364251544576057
5,2025-2,Tags 2,14,is_lags_building,0.0,0.002637442755219822
5,2025-2,Tags 2,14,historical_building_recovery,0.9248595987494426,0.0011149175316167788
5,2025-2,Tags 2,14,peer_delta_percentage_alive,0.0,-0.00032188659314049566
5,2025-2,Tags 2,14,peer_delta_weight_gap_pct,0.0,0.0002766169744011075
5,2025-2,Tags 2,14,missingindicator_temperature_deviation_from_band_c,1.0,9.27956871310192e-05
5,2025-2,Tags 2,14,missingindicator_humidity_deviation_from_band_pp,1.0,1.781241328409123e-05
5,2025-2,Tags 2,14,missingindicator_environment_out_of_band_days_7d,1.0,7.223300440851813e-05
5,2025-2,Tags 2,14,missingindicator_environment_staleness_days,1.0,5.19732703152161e-05
6,2025-2,Tags 2,21,cycle_day,21.0,-0.0029391454921606293
6,2025-2,Tags 2,21,percentage_alive,0.9644117647058824,-0.00022081084185920455
6,2025-2,Tags 2,21,mortality_recent_3d_per_1000,1.2254901960784312,0.0006928571430832467
6,2025-2,Tags 2,21,mortality_trend_delta_per_1000,0.0,0.0001613975358155031
6,2025-2,Tags 2,21,weight_gap_pct,13.250000000000012,0.0010928886106497295
6,2025-2,Tags 2,21,weight_staleness_days,0.0,-0.00403222969939432
6,2025-2,Tags 2,21,temperature_deviation_from_band_c,1.476946133063132,0.0009314728657249681
6,2025-2,Tags 2,21,humidity_deviation_from_band_pp,14.394841269841264,0.0019632475403914256
6,2025-2,Tags 2,21,environment_out_of_band_days_7d,7.0,0.0002082245930596665
6,2025-2,Tags 2,21,environment_staleness_days,0.0,-0.00017282862025633198
6,2025-2,Tags 2,21,is_lags_building,0.0,0.0020520243903756055
6,2025-2,Tags 2,21,historical_building_recovery,0.9248595987494426,0.0010919983571606967
6,2025-2,Tags 2,21,peer_delta_percentage_alive,0.0,-7.612139835624426e-05
6,2025-2,Tags 2,21,peer_delta_weight_gap_pct,-2.2499999999999876,0.00019286607769375037
6,2025-2,Tags 2,21,missingindicator_temperature_deviation_from_band_c,1.0,7.380773116470984e-05
6,2025-2,Tags 2,21,missingindicator_humidity_deviation_from_band_pp,1.0,-2.465738023078107e-06
6,2025-2,Tags 2,21,missingindicator_environment_out_of_band_days_7d,1.0,6.581435535891804e-05
6,2025-2,Tags 2,21,missingindicator_environment_staleness_days,1.0,4.3480930528859245e-05
7,2025-2,Tags 2,25,cycle_day,25.0,0.0022539908345014918
7,2025-2,Tags 2,25,percentage_alive,0.9497058823529412,0.0005106626331977223
7,2025-2,Tags 2,25,mortality_recent_3d_per_1000,1.1764705882352942,0.00020717799522075323
7,2025-2,Tags 2,25,mortality_trend_delta_per_1000,0.0,0.00030060646881809494
7,2025-2,Tags 2,25,weight_gap_pct,13.250000000000012,0.0010451063960345507
7,2025-2,Tags 2,25,weight_staleness_days,4.0,0.0023301559787779137
