cycle_id,building_id,start_date,end_date,beginning_inventory,ending_inventory,Mortality,Mortality Rate,final_recovery_rate,Total Feed,ending_weight_week5_kg,recovery_pct,1,2,3,4,5,6,day7,8,9,10,11,12,13,day14,day21,day28,day35,41,42,49
2025-2,Tags 1,2025-03-29,2025-05-16,6800,6411,389,0.0572058823529412,0.942794117647059,175,1.81,94.27941176470588,,,,,,,0.129,,,,,,,0.338,0.676,0.84,1.81,,,
2025-2,Tags 2,2025-03-29,2025-05-16,6800,6458,342,0.0502941176470588,0.949705882352941,173,1.81,94.97058823529412,,,,,,,0.129,,,,,,,0.341,0.694,0.84,1.81,,,
2025-2,Tags 3,2025-03-29,2025-05-16,6800,6498,302,0.0444117647058824,0.955588235294118,179,1.81,95.55882352941177,,,,,,,0.129,,,,,,,0.434,0.657,0.84,1.81,,,
2025-3,Lags 1,2025-07-10,2025-08-27,11224,10102,1122,0.0999643620812544,0.900035637918746,905,1.4799999999999998,90.00356379187456,,,,,,,0.10100000000000002,,,,,,,0.25549999999999995,0.461,0.8560000000000002,1.4799999999999998,,,
2025-3,Lags 2,2025-07-16,2025-09-02,11000,9987,1013,0.0920909090909091,0.907909090909091,837,1.81,90.79090909090908,,,,,,,0.098,,,,,,,0.21000000000000005,0.4280000000000001,0.4280000000000001,1.81,,,
2025-3,Tags 1,2025-06-14,2025-08-01,7105,6665,440,0.0619282195636875,0.938071780436312,541,1.47724,93.80717804363124,,,,,,,0.127,,,,,,,0.27758,0.60251,1.0468,1.47724,,,
2025-3,Tags 2,2025-06-14,2025-08-01,7152,6659,493,0.0689317673378076,0.931068232662192,512,1.49024,93.10682326621924,,,,,,,0.126,,,,,,,0.29556,0.5846699999999999,1.09464,1.49024,,,
2025-3,Tags 3,2025-06-14,2025-08-01,7127,6735,392,0.0550021046723727,0.944997895327627,534,1.5820999999999998,94.49978953276273,,,,,,,0.129,,,,,,,0.31623,0.54891,1.01144,1.5820999999999998,,,
2025-4,Lags 1,2025-09-27,2025-11-14,11185,10398,787,0.0703620920876174,0.929637907912383,941,1.568,92.96379079123827,,,,,,,0.10100000000000002,,,,,,,0.23500000000000004,0.585,1.12,1.568,,,
2025-4,Lags 2,2025-09-27,2025-11-14,11190,10448,742,0.0663092046470062,0.933690795352994,876,1.594,93.36907953529938,,,,,,,0.10100000000000002,,,,,,,0.24299999999999997,0.594,1.158,1.594,,,
