candidate,family,target_form,feature_set,complexity,description,rows,independent_building_cycles,rmse_g,cycle_macro_rmse_g,mae_g,cycle_macro_mae_g,r2,bias_g,within_100g_rate,within_200g_rate,worst_cycle_rmse_g,fold_rmse_sd_g,fold_rmse_se_g,target_side_accuracy,majority_side_accuracy,below_target_recall,at_or_above_target_recall,actual_target_hits,rmse_95ci_low_g,rmse_95ci_high_g,r2_95ci_low,r2_95ci_high,rank
direct_extra_trees_growth,extra_trees,direct,compact,5,Extra Trees restricted to growth and flock-state features,124,31,165.70547777136983,140.50189943475257,127.88626753693084,117.12705295744856,0.29492337503479915,9.172648115744787,0.5,0.7741935483870968,215.32497634573048,74.1887235987642,30.287419580891537,0.967741935483871,0.967741935483871,1.0,0.0,1,107.54674829169721,198.80112832571538,-0.3070221910239799,0.43792452031860385,1
remaining_trajectory_ridge,ridge,remaining,trajectory,3,Regularized remaining-gain regression on the observed trajectory,124,31,161.9674263769344,146.97712565161146,128.44048000235594,122.17616055710904,0.3263753835784179,7.761182635453255,0.46774193548387094,0.7741935483870968,203.03114020276885,54.18925250704546,22.122669697515914,0.9838709677419355,0.967741935483871,1.0,0.5,1,116.1781273447617,190.29260870078875,-0.3169010493653197,0.38220827371405564,2
historical_remaining_gain,baseline,remaining,current,0,Naive projection: current weight plus fold-local expected remaining growth,124,31,163.90887260176706,149.9082719395848,127.1208997429989,120.92760425824173,0.31012959760018166,-0.6461027915633306,0.5080645161290323,0.7580645161290323,203.1370166198503,53.93536909361507,22.019022228005827,0.9596774193548387,0.967741935483871,0.9833333333333333,0.25,1,118.33627181259028,193.32885526310793,-0.3901534100613022,0.36779025750003425,3
recent_adg_projection,recent_adg,direct,compact,1,Naive projection: blend recent observed ADG with fold-local expected remaining daily gain,124,31,163.90887260176706,149.9082719395848,127.12089974299892,120.92760425824173,0.31012959760018166,-0.6461027915632701,0.5080645161290323,0.7580645161290323,203.1370166198503,53.93536909361509,22.019022228005834,0.9596774193548387,0.967741935483871,0.9833333333333333,0.25,1,118.3362718125903,193.32885526310795,-0.39015341006130155,0.36779025750003413,4
blend_baseline_pls,blend,direct,trajectory,3,Fold-tuned blend of remaining-gain baseline and trajectory PLS,124,31,163.84989603219796,149.9193673109897,129.38612737219475,123.89832869272554,0.31062595718611297,3.544935027509085,0.47580645161290325,0.7741935483870968,205.697844161427,54.64653903792981,22.3093561420016,0.9596774193548387,0.967741935483871,0.9833333333333333,0.25,1,117.41274625603532,193.97042846068695,-0.4077853545534851,0.36510326404485527,5
direct_linear_svr,svr,direct,trajectory,4,Linear support-vector regression on the observed trajectory,124,31,191.37104644001676,152.47832443431585,146.08730786863882,131.7998986798813,0.059594739628347604,19.821000350521967,0.532258064516129,0.6854838709677419,258.75445159508394,102.63586781704218,41.90091757658249,0.967741935483871,0.967741935483871,1.0,0.0,1,112.6681959769749,237.46919127287194,-0.2813962476987144,0.1029524743823661,6
direct_trajectory_ridge,ridge,direct,trajectory,3,Regularized direct regression on the observed weight trajectory,124,31,172.2868587953168,154.90055156577702,134.73332837283598,127.96355214199939,0.237803601801704,10.35673789999195,0.45161290322580644,0.7661290322580645,209.7447088878146,61.26881794647809,25.01289018539133,0.9758064516129032,0.967741935483871,1.0,0.25,1,122.7034257541267,201.7195470327569,-0.43178713594996077,0.3141165095977816,7
direct_current_weight_ols,ols,direct,current,1,Checkpoint-specific direct regression on current observed weight,124,31,163.31750625665657,155.90983743165754,135.12989257253443,134.86035027580888,0.3150985804512054,9.684385303146005,0.3870967741935484,0.7661290322580645,197.2583362978183,47.12995713757992,19.240724431052143,0.967741935483871,0.967741935483871,0.9833333333333333,0.5,1,122.98632796458195,190.55704330672066,-0.6566290453439689,0.4194141619478611,8
direct_extra_trees,extra_trees,direct,extended,5,"Constrained Extra Trees using growth, flock-state, and environment history",124,31,186.38612217748528,156.85311459946266,146.3219318059538,133.6271355941131,0.10794890210143471,18.244240692197785,0.45161290322580644,0.717741935483871,243.2486902927099,85.36914347675786,34.851806882750644,0.967741935483871,0.967741935483871,1.0,0.0,1,124.68757116061155,224.92483346525455,-0.4528411238800154,0.1529758500958181,9
direct_gradient_boosting,gradient_boosting,direct,extended,6,Constrained Huber gradient boosting using extended features,124,31,188.3913260595597,157.12614318707244,147.66634510585794,134.1048732351936,0.08865168987730776,14.684534624771501,0.4112903225806452,0.6612903225806451,241.9430352820442,88.85679867293503,36.27563615431738,0.967741935483871,0.967741935483871,1.0,0.0,1,129.66100443275147,225.5250844010499,-0.6067649108084356,0.242837775504416,10
remaining_poultry_core_ridge,ridge,remaining,poultry_core,4,Regularized remaining-gain model using compact poultry features,124,31,169.84252638475584,157.74846052651614,137.3060358700537,132.62656405149377,0.25927761569471763,24.025440591487435,0.46774193548387094,0.7338709677419355,216.50950894225232,49.99872018756852,20.411892041955888,0.9758064516129032,0.967741935483871,0.9833333333333333,0.75,1,123.28962192014522,199.04994541708646,-0.3911548197874221,0.3302274645004192,11
direct_catboost_growth,catboost,direct,compact,7,Regularized CatBoost using observed growth and flock-state features,124,31,195.89055133916563,158.32774390819483,149.29059037827687,134.7294777763453,0.014652171965686245,20.996203432068533,0.5080645161290323,0.6370967741935484,273.0822066874106,101.27787217118855,41.34651817570538,0.967741935483871,0.967741935483871,1.0,0.0,1,120.8494593390808,240.34423554176865,-0.4561133639269346,0.18232133047580845,12
direct_elastic_net_compact,elastic_net,direct,compact,4,Sparse regularized compact model,124,31,181.7242899199226,161.58285614920695,144.98754740786174,136.8664371752694,0.15201426294950804,11.627943578325553,0.4274193548387097,0.6935483870967742,229.8797495838085,68.99732279123154,28.16803907610361,0.9596774193548387,0.967741935483871,0.9916666666666667,0.0,1,124.95060212020292,216.48915713446152,-0.43377678238132,0.22307647498037952,13
direct_lightgbm_growth,lightgbm,direct,compact,7,Regularized LightGBM using observed growth and flock-state features,124,31,200.93251916782722,163.41587065817677,154.03399104363868,139.12653216432645,-0.036723743065764314,13.641586950805394,0.4596774193548387,0.6451612903225806,280.3370056087427,102.04928036403723,41.661444251685666,0.967741935483871,0.967741935483871,1.0,0.0,1,126.62601324387941,247.11584947621986,-0.6023704835391196,0.17270842324412916,14
