feature,mean_abs_shap_g,mean_shap_g,checkpoints
ratio_day28,20.845051921652143,-8.692463178620574,1
placement_to_current_adg_g_day,13.85541367341385,-1.4235654492349226,4
current_weight_g,13.02622523875994,-1.7181521604448808,4
current_ratio_to_target,11.51029313618993,-1.4483055291563571,4
adg_day21_28_g,9.285199912222303,-4.294043630659311,1
ratio_day21,7.797473459306139,-1.2659468056189933,2
weight_day21_g,6.54555207422095,-1.0961940315071692,1
ratio_day7,6.155227456142234,1.0491129867365316,4
ratio_day14,6.058815579212077,-0.6252245141937515,3
gain_day7_14_g,6.024658368644986,-0.867184752875538,3
last_interval_adg_g_day,5.852944423586965,-1.6323221751352472,4
adg_day14_21_g,5.722694312882068,-1.5420906830810546,2
adg_day7_14_g,5.66780175216513,-0.8738966321930421,3
gain_day14_21_g,5.651437013529676,-1.508609431019022,2
gain_day21_28_g,4.758108835794807,-2.0892766308541466,1
weight_day14_g,4.720108195507384,-0.48200178148722816,2
weight_day7_g,4.090659619701829,0.5456436538626753,3
survival_pct,2.75464618785464,-0.6410436759262325,4
prior_interval_adg_g_day,2.037994565859183,-0.34910822298931143,4
mortality_recent_7d_per_1000,1.938288012783238,-0.3542624768709497,4
adg_acceleration_g_day2,0.16791778450707207,0.024911865780266378,4
