bldg,final_harvest_recovery,harvest_cycle,prediction_day,average_temperature,average_temperature_lag1,average_temperature_lag2,average_temperature_trend,max_temperature,max_temperature_trend,min_temperature_trend,temperature_range,max_thi_cycle,max_thi_day,target_temperature,target_temperature_max,target_temperature_min,temperature_abs_error,temperature_gap,temperature_volatility,temperature_within_target,thi_stress_days,average_humidity,average_humidity_trend,humidity_range,max_humidity,max_humidity_trend,min_humidity,min_humidity_trend,high_humidity_days,high_humidity_flag_cycle,high_humidity_flag_day,humidity_abs_error,humidity_gap,humidity_volatility,humidity_within_target,low_humidity_days,low_humidity_flag_cycle,low_humidity_flag_day,percent_high_humidity_days,percent_low_humidity_days,target_humidity,target_humidity_max,target_humidity_min,feed_cumulative_g_per_bird,feed_daily_g_per_bird,feed_daily_g_per_bird_ratio_lag1,feed_daily_g_per_bird_ratio_lag2,feed_daily_g_per_bird_ratio_lag3,feed_deficit_days,feed_deficit_flag,feed_efficiency_score,feed_gap_cumulative,feed_gap_daily,feed_percent_target_cumulative,feed_percent_target_daily,feed_surplus_days,feed_surplus_flag,feed_volatility_score,feedconsumption_bags_1000,target_feed_cumulative,target_feed_daily,average_daily_mortality_ratio_to_normal_target,cumulative_allowable_mortality_normal,cumulative_mortality_difference_from_normal_target,daily_allowable_mortality,daily_mortality_difference_from_normal_target,daily_mortality_ratio_to_normal_target,early_mortality_concentration,early_mortality_concentration_day1_7,five_day_mortality_concern,high_mortality_days,high_mortality_severity,max_consecutive_high_mortality_days,mortality_dailypercent,mortality_dailypercent_ratio_lag1,mortality_dailypercent_ratio_lag2,mortality_dailypercent_ratio_lag3,mortality_percent_cum,percent_high_mortality_days,bodyweight_at_day7,bodyweight_deficit_g_interpolated,bodyweight_deficit_percent_of_target,bodyweight_g,bodyweight_g_is_extrapolated_fallback,bodyweight_g_is_interpolated,bodyweight_g_lag1,bodyweight_g_lag2,bodyweight_percent_target,day14_to_21_growth_rate,day_7_bodyweight_lower_than_mean,target_weight_interpolated,average_thi,cold_stress_days,cold_stress_flag_cycle,cold_stress_flag_day,compounding_stress_days,critical_days,current_population,current_recoverable_ratio,heat_stress_days,heat_stress_flag_cycle,heat_stress_flag_day,interpolated_daily_weight_gain_g,is_tags,percent_cold_stress_days,percent_heat_stress_days,population_loss_percent,projected_day35_weight_from_day14_21_slope,projected_day35_weight_from_trajectory,resting_days,sqft_per_bird,warning_days,bodyweight_at_day_35
Tags 1,0.887794117647059,2025-2,1,28.15472074468085,28.15472074468085,28.15472074468085,0.0,32.6,0.0,0.0,7.100000000000001,27.67854880516591,27.67854880516591,30.0,32.0,28.0,1.8452792553191488,-1.8452792553191488,0.0,1,0,77.42010416666665,0.0,22.5,86.8,0.0,64.3,0.0,1,1,1,17.420104166666647,17.420104166666647,0.0,0,0,0,0,1.0,0.0,60.0,70.0,60.0,14.79727730097662,14.79727730097662,3.0,3.0,3.0,0,0,147.9727730097662,4.797277300976621,4.797277300976621,147.9727730097662,147.9727730097662,1,1,0.0,0.2941176471,10.0,10.0,6.176470588235294,6.8,35.2,6.8,35.2,6.176470588235294,1.8333333333333333,3.523809523809524,0,1,5.176470588235294,1,0.6176470588,3.0,3.0,3.0,0.6176470588,1.0,106.75,0.0,0.0,64.0,True,False,669.9717991631799,637.6489644351465,100.0,39.36357142857144,0,64.0,27.67854880516591,0,0,0,0,1,6758,0.993823529411765,0,0,0,11.0,1,0.0,0.0,0.0061764705882352,1069.3950000000002,1789.0,29.5,1.0654039656703167,1,1573.0
Tags 1,0.887794117647059,2025-2,2,28.15472074468085,28.15472074468085,28.15472074468085,-6.783381100595097e-15,32.6,-6.772789795300852e-15,-4.066460168369259e-15,7.100000000000001,27.67854880516591,27.67854880516591,30.0,32.0,28.0,1.8452792553191488,-1.8452792553191488,0.0,1,0,77.42010416666665,-1.1658284442341368e-14,22.5,86.8,-1.7209744916952118e-14,64.3,-2.2316770830227838e-14,2,1,1,17.420104166666647,17.420104166666647,0.0,0,0,0,0,1.0,0.0,60.0,70.0,60.0,29.68239833778569,14.841199168892846,1.0029682398337785,3.0,3.0,1,1,86.57366181854161,-0.3176016622143081,-5.158800831107154,98.94132779261898,74.20599584446424,1,0,1.4121146998584422,0.5882352941,30.0,20.0,4.5588235294117645,13.6,48.400000000000006,6.8,13.2,2.9411764705882355,1.2419354838709675,2.3870967741935485,0,2,5.176470588235294,2,0.2941176471,0.4761904762752834,3.0,3.0,0.9117647059,1.0,106.75,0.0,0.0,77.0,True,False,64.0,637.6489644351465,100.0,39.36357142857144,0,77.0,27.67854880516591,0,0,0,0,1,6738,0.990882352941176,0,0,0,13.0,1,0.0,0.0,0.0091176470588235,1069.3950000000002,1789.0,29.5,1.068566340160285,2,1573.0
Tags 1,0.887794117647059,2025-2,3,28.154720744680855,28.15472074468085,28.15472074468085,-1.2895420286198467e-15,32.6,2.30148056710964e-15,2.3936246954295856e-15,7.100000000000001,27.67854880516591,27.67854880516591,30.0,32.0,28.0,1.8452792553191488,-1.8452792553191488,4.351167857633658e-15,1,0,77.42010416666665,1.136476922109094e-14,22.5,86.8,1.802190973325158e-15,64.3,-3.3130325148630877e-15,3,1,1,17.420104166666647,17.420104166666647,0.0,0,0,0,0,1.0,0.0,60.0,70.0,60.0,44.62293618920125,14.874312063067084,1.0022311468094602,1.0052060092220736,3.0,2,1,81.80871634686895,-5.377063810798752,-5.125687936932916,89.2458723784025,74.37156031533542,1,0,1.1531996636313655,0.8823529412,50.0,20.0,3.774509803921569,20.4,56.60000000000001,6.8,8.2,2.2058823529411766,1.0,1.922077922077922,0,3,5.176470588235294,3,0.2205882353,0.749999999915,0.3571428571659863,3.0,1.132352941,1.0,106.75,0.0,0.0,91.0,True,False,77.0,64.0,100.0,39.36357142857144,0,91.0,27.678548805165907,0,0,0,0,1,6723,0.988676470588235,0,0,0,14.0,1,0.0,0.0,0.0113235294117647,1069.3950000000002,1789.0,29.5,1.07095046854083,3,1573.0
Tags 1,0.887794117647059,2025-2,4,28.15472074468085,28.15472074468085,28.15472074468085,-4.860576503336004e-15,32.6,-2.22671580167811e-15,-3.4693771706650844e-15,7.100000000000001,27.67854880516591,27.67854880516591,30.0,32.0,28.0,1.8452792553191488,-1.8452792553191488,0.0,1,0,77.42010416666665,-1.0656246691081632e-14,22.5,86.8,-1.1688067064152732e-14,64.3,-8.691606854378891e-15,4,1,1,17.420104166666647,17.420104166666647,0.0,0,0,0,0,1.0,0.0,60.0,70.0,60.0,67.18423409973126,22.394744699910422,1.5055986861749775,1.5089578978799645,1.5134368468199464,3,1,89.57897879964167,-7.815765900268744,-2.6052553000895777,89.57897879964167,89.57897879964169,1,0,0.9450955999807185,1.323529412,75.0,25.0,3.75,27.2,74.80000000000001,6.8,18.2,3.6764705882352944,0.7549019607843137,1.4509803921568627,0,4,5.176470588235294,4,0.3676470588,1.6666666665155556,1.249999999745,0.5952380952226757,1.5,1.0,106.75,0.0,0.0,107.0,True,False,91.0,77.0,100.0,39.36357142857144,0,107.0,27.67854880516591,0,0,0,0,2,6698,0.985,0,0,0,16.0,1,0.0,0.0,0.015,1069.3950000000002,1789.0,29.5,1.0749477455957002,4,1573.0
Tags 1,0.887794117647059,2025-2,5,28.15472074468085,28.15472074468085,28.15472074468085,-3.371434273386755e-15,32.6,-3.764398267022435e-15,-4.80122207299609e-16,7.100000000000001,27.67854880516591,27.67854880516591,28.0,30.0,26.0,0.1547207446808514,0.1547207446808514,0.0,1,0,77.42010416666665,-4.822292063407377e-15,22.5,86.8,-3.627382670784715e-15,64.3,-3.145486211302101e-15,5,1,1,17.420104166666647,17.420104166666647,0.0,0,0,0,0,1.0,0.0,60.0,70.0,60.0,89.84725965858041,22.461814914645103,1.0029949086552858,1.5101078167115902,1.5134770889487872,4,1,89.84725965858041,-10.152740341419587,-2.538185085354897,89.84725965858041,89.84725965858041,1,0,0.8648441707415309,1.764705882,100.0,25.0,3.588235294117647,34.0,88.00000000000001,6.8,13.2,2.9411764705882355,0.6311475409836066,1.213114754098361,1,5,5.176470588235294,5,0.2941176471,0.8000000001632,1.3333333334844444,1.0,1.794117647,1.0,106.75,0.0,0.0,125.0,True,False,107.0,91.0,100.0,39.36357142857144,0,125.0,27.67854880516591,0,0,0,0,2,6678,0.982058823529412,0,0,0,18.0,1,0.0,0.0,0.0179411764705882,1069.3950000000002,1789.0,29.5,1.0781671159029649,5,1573.0
Tags 1,0.887794117647059,2025-2,6,28.154720744680848,28.15472074468085,28.15472074468085,-1.3488542533772615e-15,32.6,-3.003278291787231e-16,-6.929659921216828e-16,7.100000000000001,27.67854880516591,27.67854880516591,28.0,30.0,26.0,0.1547207446808514,0.1547207446808514,3.891802844472395e-15,1,0,77.42010416666665,-3.2804718226432046e-15,22.5,86.8,-5.226196707538049e-15,64.3,-1.2637676618891283e-15,6,1,1,17.420104166666647,17.420104166666647,0.0,0,0,0,0,1.0,0.0,60.0,70.0,60.0,112.56190904997749,22.512381809995496,1.0022512381809996,1.005252889088999,1.5135074290859971,5,1,73.85014138728681,-22.438090950022517,-12.487618190004504,83.37919188887221,64.32109088570141,1,0,0.800072259853328,2.205882353,135.0,35.0,3.357843137254902,40.8,96.20000000000002,6.8,8.2,2.2058823529411766,0.5620437956204379,1.0802919708029195,1,6,5.176470588235294,6,0.2205882353,0.749999999915,0.6000000000544,1.0,2.014705882,1.0,106.75,0.0,0.0,145.0,True,False,125.0,107.0,100.0,39.36357142857144,0,145.0,27.678548805165914,0,0,0,0,2,6663,0.979852941176471,0,0,0,20.0,1,0.0,0.0,0.0201470588235294,1069.3950000000002,1789.0,29.5,1.080594326879784,6,1573.0
Tags 1,0.887794117647059,2025-2,7,28.154720744680848,28.15472074468085,28.15472074468085,-3.895921039444663e-16,32.6,1.656277457553702e-15,1.2138620989631208e-15,7.100000000000001,27.67854880516591,27.67854880516591,28.0,30.0,26.0,0.1547207446808514,0.1547207446808514,3.837369354665453e-15,1,0,77.42010416666665,2.54453727244602e-15,22.5,86.8,2.9813600726655495e-15,64.3,-1.585001016368459e-15,7,1,1,17.420104166666647,17.420104166666647,0.0,0,0,0,0,1.0,0.0,60.0,70.0,60.0,142.8141912206855,30.06614552014432,1.3355381840048106,1.338544798556825,1.3425536179595108,6,1,84.95581034578593,-27.1858087793145,-4.9338544798556825,84.00834777687382,85.90327291469805,1,0,0.7310492118793457,2.794117647,170.0,35.0,3.1092436974789917,47.599999999999994,100.40000000000002,6.8,4.2,1.6176470588235294,0.5202702702702703,1.0,1,7,5.176470588235294,7,0.1617647059,0.7333333333937778,0.549999999983,0.44000000007616,2.176470588,1.0,149.0,-18.0,-10.778443113772456,149.0,False,False,145.0,125.0,89.22155688622755,39.36357142857144,0,167.0,27.678548805165914,0,0,0,0,2,6652,0.978235294117647,0,0,0,22.0,1,0.0,0.0,0.0217647058823529,1069.3950000000002,1596.1736526946108,29.5,1.0823812387251954,6,1573.0
Tags 1,0.887794117647059,2025-2,8,28.15472074468085,28.15472074468085,28.15472074468085,2.560235073882277e-15,32.6,2.821334018596945e-15,1.5927353798953544e-15,7.100000000000001,27.67854880516591,27.67854880516591,28.0,30.0,26.0,0.1547207446808514,0.1547207446808514,0.0,1,0,77.42010416666665,6.1910039907492395e-15,22.5,86.8,3.730138838203249e-15,64.3,1.0375528248368055e-15,8,1,1,22.420104166666647,22.420104166666647,0.0,0,0,0,0,1.0,0.0,55.0,65.0,55.0,173.14062029509185,30.11141222523336,1.0015055706112617,1.337548931044866,1.3405600722673894,7,1,69.4615532013906,-46.85937970490815,-19.88858777476664,78.70028195231448,60.22282445046672,1,0,0.6918641612679525,3.382352941,220.0,50.0,2.9044117647058822,54.4,103.60000000000001,6.8,3.2,1.4705882352941178,0.4873417721518987,0.9367088607594936,1,8,5.176470588235294,8,0.1470588235,0.9090909088099172,0.6666666665155555,0.49999999983,2.323529412,1.0,149.0,-22.366812227074234,-11.64938136826783,169.63318777292577,False,True,149.0,145.0,88.35061863173217,39.36357142857144,0,192.0,27.67854880516591,0,0,0,0,2,6642,0.976764705882353,0,0,0,25.0,1,0.0,0.0,0.023235294117647,1069.3950000000002,1580.5925673216886,29.5,1.084010840108401,6,1573.0
Tags 1,0.887794117647059,2025-2,9,28.15472074468085,28.15472074468085,28.15472074468085,1.0383261863092424e-15,32.6,1.926709849426818e-15,5.833989137158367e-16,7.100000000000001,27.67854880516591,27.67854880516591,25.0,28.0,23.0,3.1547207446808514,3.1547207446808514,0.0,0,0,77.42010416666665,2.9175697731988434e-15,22.5,86.8,-6.967445516541836e-16,64.3,2.4487606206954734e-15,9,1,1,22.420104166666647,22.420104166666647,0.0,0,0,0,0,1.0,0.0,55.0,65.0,55.0,203.527815468114,30.15226895823911,1.0013568521031209,1.0028644655510328,1.3393637871249813,8,1,67.84260515603799,-66.47218453188603,-19.84773104176089,75.38067239559777,60.30453791647822,1,0,0.6579257733898114,3.970588235,270.0,50.0,2.7287581699346406,61.199999999999996,105.80000000000001,6.8,2.2,1.3235294117647058,0.4610778443113772,0.8862275449101796,1,9,5.176470588235294,9,0.1323529412,0.9000000003399999,0.8181818182380165,0.6000000000906667,2.455882353,1.0,149.0,-27.25764192139738,-12.389837236998808,192.74235807860265,False,True,169.63318777292577,149.0,87.61016276300118,39.36357142857144,0,220.0,27.67854880516591,0,0,0,1,2,6633,0.975441176470588,1,1,1,28.0,1,0.0,0.1111111111111111,0.0245588235294117,1069.3950000000002,1567.3458118300916,29.5,1.0854816824966078,6,1573.0
Tags 1,0.887794117647059,2025-2,10,28.15472074468085,28.15472074468085,28.15472074468085,1.0489235393749254e-15,32.6,4.151382088140757e-16,-1.8871550300651993e-16,7.100000000000001,27.67854880516591,27.67854880516591,25.0,28.0,23.0,3.1547207446808514,3.1547207446808514,0.0,0,0,77.42010416666665,5.929324924733543e-15,22.5,86.8,3.621045517473897e-15,64.3,2.5895147748354023e-15,10,1,1,22.420104166666647,22.420104166666647,0.0,0,0,0,0,1.0,0.0,55.0,65.0,55.0,241.4729852097797,37.73015393902807,1.251320555387866,1.2530184123151222,1.2549049200120737,9,1,68.02861089006576,-88.52701479022033,-22.26984606097193,73.1736318817514,62.88358989838012,1,0,0.6206476902843973,4.705882353,330.0,60.0,2.558823529411765,68.0,106.00000000000001,6.8,0.2000000000000001,1.0294117647058825,0.4425287356321839,0.8505747126436781,1,10,5.176470588235294,10,0.1029411765,0.7777777778617284,0.70000000034,0.636363636476033,2.558823529,1.0,149.0,-32.323144104803475,-12.98118237140702,216.67685589519647,False,True,192.74235807860265,169.63318777292577,87.01881762859298,39.36357142857144,0,249.0,27.67854880516591,0,0,0,2,2,6626,0.974411764705882,2,1,1,29.0,1,0.0,0.2,0.0255882352941176,1069.3950000000002,1556.766647375528,29.5,1.0866284334440084,6,1573.0
