feature,mae_without,delta_mae,pct_mae_change,helps_model
bodyweight_at_day7,129.96723569079865,7.875981898878379,6.450897713198514,True
humidity_range,125.85731777939984,3.766063987479569,3.084630446909866,True
high_mortality_severity,123.77586454769563,1.684610755775367,1.3797964255870807,True
projected_day35_weight_from_trajectory,121.7776190742848,-0.31363471763546613,-0.2568854917076966,False
cold_stress_days,121.1921332187242,-0.8991205731960719,-0.736433237657171,False
temperature_range,120.94906931335905,-1.1421844785612194,-0.9355170358950042,False
is_tags,120.62807682866064,-1.4631769632596274,-1.1984289765369396,False
current_population,120.26692713777649,-1.8243266541437748,-1.494232057976052,False
critical_days,120.13070433404368,-1.9605494578765814,-1.6058066380561047,False
feed_efficiency_score,119.57782838379477,-2.5134254081254994,-2.0586449316092064,False
max_thi_cycle,117.65131866941584,-4.439935122504423,-3.6365709947343077,False
average_temperature,114.99698419045797,-7.094269601462301,-5.810628837961679,False
